"iso3c","variablename","year","value"
"CZE","ARMY",2013,1.346
"COD","ARMY",2013,1.293
"DNK","ARMY",2013,1.433
"DJI","ARMY",2013,2.647
"DOM","ARMY",2013,1.392
"ECU","ARMY",2013,1.592
"EGY","ARMY",2013,1.794
"SLV","ARMY",2013,1.364
"GNQ","ARMY",2013,1.205
"ERI","ARMY",2013,5
"EST","ARMY",2013,1.681
"ETH","ARMY",2013,1.242
"FIN","ARMY",2013,1.621
"FRA","ARMY",2013,1.547
"GAB","ARMY",2013,1.488
"GMB","ARMY",2013,1.083
"GEO","ARMY",2013,1.71
"DEU","ARMY",2013,1.365
"GHA","ARMY",2013,1.095
"GRC","ARMY",2013,2.917
"GTM","ARMY",2013,1.171
"GIN","ARMY",2013,1.145
"GNB","ARMY",2013,1.385
"GUY","ARMY",2013,1.201
"HTI","ARMY",2013,1
"HND","ARMY",2013,1.218
"HUN","ARMY",2013,1.412
"ISL","ARMY",2013,1
"IND","ARMY",2013,1.165
"IDN","ARMY",2013,1.243
"IRN","ARMY",2013,2.051
"IRQ","ARMY",2013,2.233
"IRL","ARMY",2013,1.299
"ISR","ARMY",2013,5
"ITA","ARMY",2013,1.451
"JAM","ARMY",2013,1.168
"JPN","ARMY",2013,1.298
"JOR","ARMY",2013,3.371
"KAZ","ARMY",2013,1.351
"KEN","ARMY",2013,1.085
"KSV","ARMY",2013,1
"KWT","ARMY",2013,1.637
"KGZ","ARMY",2013,1.307
"LAO","ARMY",2013,1.691
"LVA","ARMY",2013,1.369
"LBN","ARMY",2013,3.121
"LSO","ARMY",2013,1.137
"LBR","ARMY",2013,1.072
"LBY","ARMY",2013,2.731
"LTU","ARMY",2013,1.57
"MKD","ARMY",2013,1.589
"MDG","ARMY",2013,1.097
"MWI","ARMY",2013,1.048
"MYS","ARMY",2013,1.565
"MLI","ARMY",2013,1.065
"MRT","ARMY",2013,1.671
"MUS","ARMY",2013,1
"MEX","ARMY",2013,1.357
"MDA","ARMY",2013,1.214
"MNG","ARMY",2013,1.536
"MNE","ARMY",2013,1.481
"MAR","ARMY",2013,1.914
"MOZ","ARMY",2013,1.068
"MMR","ARMY",2013,2.009
"NAM","ARMY",2013,1.597
"NPL","ARMY",2013,1.47
"NLD","ARMY",2013,1.335
"NZL","ARMY",2013,1.305
"NIC","ARMY",2013,1.263
"NER","ARMY",2013,1.046
"NGA","ARMY",2013,1.072
"PRK","ARMY",2013,5
"NOR","ARMY",2013,1.728
"OMN","ARMY",2013,2.94
"PAK","ARMY",2013,1.542
"PAN","ARMY",2013,1
"PNG","ARMY",2013,1.063
"PRY","ARMY",2013,1.251
"PER","ARMY",2013,1.568
"PHL","ARMY",2013,1.183
"POL","ARMY",2013,1.383
"PRT","ARMY",2013,1.62
"QAT","ARMY",2013,1.993
"ROU","ARMY",2013,1.504
"RUS","ARMY",2013,1.9
"RWA","ARMY",2013,1.445
"SAU","ARMY",2013,2.231
"SEN","ARMY",2013,1.162
"SRB","ARMY",2013,1.6
"SLE","ARMY",2013,1.273
"SGP","ARMY",2013,3.063
"SVK","ARMY",2013,1.448
"SVN","ARMY",2013,1.592
"SOM","ARMY",2013,1.047
"ZAF","ARMY",2013,1.193
"KOR","ARMY",2013,2.992
"SSD","ARMY",2013,4.097
"ESP","ARMY",2013,1.446
"LKA","ARMY",2013,2.152
"SDN","ARMY",2013,2.034
"SWZ","ARMY",2013,1.374
"SWE","ARMY",2013,1.334
"CHE","ARMY",2013,1.438
"SYR","ARMY",2013,2.327
"TWN","ARMY",2013,2.891
"TJK","ARMY",2013,1.173
"TZA","ARMY",2013,1.086
"THA","ARMY",2013,1.798
"TLS","ARMY",2013,1.128
"TGO","ARMY",2013,1.218
"TTO","ARMY",2013,1.45
"TUN","ARMY",2013,1.512
"TUR","ARMY",2013,2.04
"TKM","ARMY",2013,1.662
"UGA","ARMY",2013,1.192
"UKR","ARMY",2013,1.435
"ARE","ARMY",2013,2.037
"GBR","ARMY",2013,1.4
"USA","ARMY",2013,1.735
"URY","ARMY",2013,2.124
"UZB","ARMY",2013,1.251
"VEN","ARMY",2013,1.592
"VNM","ARMY",2013,1.819
"YEM","ARMY",2013,1.401
"ZMB","ARMY",2013,1.164
"ZWE","ARMY",2013,1.35
"AFG","ARMY",2012,1.884
"ALB","ARMY",2012,1.668
"DZA","ARMY",2012,1.544
"AGO","ARMY",2012,1.829
"ARG","ARMY",2012,1.271
"ARM","ARMY",2012,3.411
"AUS","ARMY",2012,1.385
"AUT","ARMY",2012,1.469
"AZE","ARMY",2012,2.118
"BHR","ARMY",2012,1.955
"BGD","ARMY",2012,1.143
"BLR","ARMY",2012,2.174
"BEL","ARMY",2012,1.486
"BEN","ARMY",2012,1.084
"BTN","ARMY",2012,1.211
