"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Australia","AUS","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","0.467049555648828","-1.1466585538352","4.19741674069225","4.89966262412382","3.92652651288901","0.0714213914983191","4.96932760418136","3.25795780934313","4.82733182375389","5.08111236741995","0.546895094874984","2.02001481788201","1.05669230808958","1.50147889522916","0.109721228025577","1.5642398634208","2.43676543765254","-0.269545042119972","2.92506516813478","1.78584858855184","1.71098196012534","1.61987613745069","-3.43584121179624","3.40394180585008","3.81998353461175","2.34547996977408","1.00749330372942","4.02189873604249","2.12644271751317","2.0474336090772","-1.65751954626366","-0.797753909810766","3.0166269149849","2.88596408214549","2.58752291864299","2.52283060789786","2.80985944774157","3.492366005899","3.88002308102521","2.70129456131166","0.565648036336299","2.73974283475329","1.72292546874186","2.8560994888293","1.85106943163504","1.28920637149861","3.1976295008231","1.60129268681169","-0.142557288687541","0.492154531528158","1.04882312343962","2.10271949883773","0.864662912249543","1.0501796566666","0.873785641394619","1.25283031683274","0.633037105280707","1.22813876005694","",
"Austria","AUT","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","4.96071718349174","2.02146966677641","3.47146615932409","5.41933601415161","2.81001278561557","4.90447900377775","2.24100975848391","3.93124182887794","5.90949592643494","5.95049653114532","4.64694285980538","5.59238143143921","4.31090588849487","3.76537310003459","-0.0990303882549597","4.76336983899198","5.03964781805539","-0.129830243272394","5.53644786427436","1.73137762504751","-0.398620345956914","1.93812116345225","3.13962807015436","0.0575735826326707","2.45056564523235","2.23640194418245","1.29304519947331","3.14974681700203","3.42010175478813","3.55354780679772","2.41398607332788","0.976092344998023","-0.298754084574909","2.00876163457851","2.51091282812396","2.21143617604285","1.97797299798917","3.46783513002163","3.35504365734644","3.12743647673042","0.88026136896886","1.15267183898602","0.450948906888087","2.09970947546969","1.54987879443253","2.94341705883517","3.39173070181498","1.14330863158605","-4.01634234125126","1.59257804102806","2.5764486696057","0.2224493798455","-0.562299550514851","-0.122368877285936","0.015506133168472","0.942067693298526","1.84100901383178","2.1546410038393","",
"Azerbaijan","AZE","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.22958323670562","-23.7638313288473","-24.2593991551053","-20.7781361251075","-12.8099683581575","0.282172038538576","4.78428272472119","8.96088742329515","6.46158336447714","10.1910293766869","9.05182217181179","8.62535113851204","9.37646097029305","8.30153801248458","26.6600947307444","32.9970663204962","24.0486789316635","8.29339079060378","7.12223873867465","3.54945565734806","-2.84718295295991","0.85388605157209","4.48247007657503","1.52213919218541","-0.145834453695798","-4.14176979774351","-1.2557206009697","0.512193852983529","",
"Burundi","BDI","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","-15.394322732322","7.00431637670715","2.12936828434896","4.1006192175378","1.67952121806623","2.10164622639282","10.9270840480282","-2.79897658165822","-3.68143985547809","19.0529987627329","1.26462440397974","-7.44407935251841","5.83769058831601","-1.85135772573642","-0.783592555095126","5.93914115670779","9.05251673600462","-3.31897077040919","-0.893912823447437","-1.58550129205351","9.29191969137264","-3.61109620261327","0.998593404922104","-2.52265221211887","8.73064878754685","0.378672988934653","2.55666672311099","2.15444078581417","-1.29297933062803","0.990079087756016","2.62010286872332","-1.13327941994949","-8.05903733682764","-5.47518624327911","-9.27459827198631","-9.10926284810168","-2.58692260225784","3.67580463504818","-2.29828189107781","-2.59368363230537","-0.238090711953845","1.66452482498396","-4.15508331796791","1.56240403268357","-2.29445932504477","2.0469967946142","0.104987385930926","1.45642129201431","0.455622978469933","1.75637635285388","0.748442778960595","1.19805667252835","1.68746987596798","1.02152974753199","-6.88640571719623","-3.70833606243559","-2.6469412215971","-1.56705346305485","",
"Belgium","BEL","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","4.63025713410765","4.794034517665","3.57435354079992","5.94913935630481","2.62444466112058","2.46146245343814","3.29157574176944","3.78504436430818","6.32828364655889","5.48774486800576","3.79648878413596","4.88408794755372","6.04748881865009","4.23677758194631","-2.24882964485714","5.46413996321358","0.501978658613695","2.74598990411761","2.24912756971356","4.32900844321613","-0.276653775222428","0.62232922842658","0.319812285962342","2.46792143223813","1.62151890470935","1.78646994009877","2.21947800418891","4.39079503158692","3.09399895247581","2.83026811125389","1.4553717527328","1.11956569268372","-1.34799947231747","2.90931872128361","2.17055018448053","1.39508428535666","3.4597522419912","1.75776055651822","3.32625241238105","3.38261014054346","0.465406796987324","1.32526632948444","0.353404956314733","3.18730282594399","1.53423198153099","1.8322772713027","2.69210105836208","-0.0098689285835718","-3.0364866115416","1.80979450520988","0.48248529588561","-0.384917339709205","-0.270512826122484","0.806174071391411","1.15175897219804","0.940196073762451","1.34323418648943","1.02123333687707","",
"Benin","BEN","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","1.70889454767367","-4.85516414213974","3.08411441596759","4.87297495582806","3.43822948129615","1.65264017527787","-0.88559101885042","1.74870506090441","0.745684799067519","-0.0645200373893431","-3.62245977251233","4.08371023034096","1.37110085676298","0.948679615926309","-7.16006168603386","-1.5873785591411","2.34592333257122","-1.34527512594933","3.75091091019009","3.94819409288847","6.99066096594554","-0.565306047063771","-7.00516373441161","4.89536528238699","4.4721264192053","-0.75179112082111","-4.33987444407201","0.360547047426849","-5.82020258507337","5.50710721399892","0.764700702498217","-0.562599754177057","2.19519016775014","-1.41568360386674","2.60937154743333","1.09401490092435","2.58064435922887","0.930263030283001","2.27747144791282","2.74780021602182","2.19312213021186","1.50801646877987","0.346990896980074","1.3378533355849","-1.24744247827034","0.978319651314209","3.00432919326484","1.96969488000025","-0.505433088993129","-0.715273205168543","0.11605829820877","1.92472037239352","4.23970812687595","3.43371285532312","-0.695138395049582","1.13324063389516","2.96688150864692","3.97518359608362","",
"Burkina Faso","BFA","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","2.65601805465143","4.72212833180672","-2.59342458325051","0.857187825095124","2.2410230200139","-1.02109047351433","7.05835902371609","1.34430408124766","0.288794716707727","-1.59934843891708","-0.336973635003389","0.523656203374514","-1.3343921789148","6.32226029331346","1.08211989543663","6.46779659734523","-1.5887312613707","2.49536431800945","1.4762871163138","-1.43667358167386","1.83268056537125","6.91285423074284","-2.15073659271842","-4.26104265401855","5.75574175288571","5.19495561340754","-2.80245825696936","3.05797237077611","-0.510909235795083","-3.21121444317946","6.18899686056889","-2.43052311521696","0.695587916525355","-1.41083893844271","2.85298663713066","7.9873477889986","3.39812100694439","4.34171011162378","4.41531646794715","-1.03264256285028","3.60861856996422","1.39456596350325","4.72270753211393","1.4641414001655","5.49346370563578","3.12418158942872","2.52031350933548","4.09748588345262","-0.107397986479583","2.23943499739836","3.46627147455733","3.30923981741063","2.68483140830034","1.28209364611807","0.885054448301091","2.89039992914246","3.27305453860932","3.49944439886167","",
"Bangladesh","BGD","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","3.15904878142594","2.56630888889948","-3.22061599237695","7.77397291054108","-1.40861909675201","-0.613934046805582","-4.9950577142145","6.10295020329747","-1.62346370673451","3.06666214529099","-7.35333262510314","-15.3863806911148","1.77997759303928","7.8307891457096","-5.90069348249939","3.32246653454223","0.141710082241246","4.25479836074474","1.9912819029862","-1.85256474309651","4.44314828187049","-0.499719453954711","1.21551714194426","2.10782449778249","0.669020607515705","1.46426835675177","1.07853905977662","-0.207285396718291","0.274083216745254","3.08698402350078","1.10664428897979","3.11422122259933","2.46558052677466","1.69041560413505","2.90124604682065","2.31962811240169","2.30668705583814","3.0146795128333","2.57420902747467","3.25749967913609","3.11380508371251","1.96038247387588","2.94185326595833","3.55336023330524","4.9658429129363","5.24453135143487","5.75342068854268","4.80617034598272","3.87850140942676","4.3909803668064","5.25309562973739","5.29824495849087","4.79440164181352","4.85610832403805","5.36878342333158","5.95091457759985","6.14210394847194","6.73701752220683","",
"Bulgaria","BGR","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","4.55114422929729","2.03229416461932","3.17252088070306","3.1548073666586","2.68495339474475","4.23524126936128","5.89861249444547","10.8200908463929","-2.15169070485979","-7.4632076545484","-7.53406889133126","-6.27126380423573","-0.691213532221596","2.1643587744671","3.3193489686016","1.22538636955616","-0.484814882930209","7.06102173661034","-7.89318403891862","5.2844853542843","5.85659835292871","8.26224087716822","5.99248289982523","7.24176871485913","7.93317140797711","7.68916579193385","8.1366152859423","6.76869306309271","-2.96296376384251","1.99327953842283","2.57051342984499","0.612051095387244","1.05790955605502","2.41800281989239","4.13351489936093","4.66831446724521","4.57230650133613","3.84031545793022","",
"Bahrain","BHR","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-8.91857045043074","-10.3897711373833","3.5579477715513","2.2263257145988","-7.52926820672492","-2.09702691659723","6.58987454751508","3.26762636736764","-2.95074405947653","1.31200257216312","8.21250102983812","3.97199230597025","10.1074584748605","-2.67721762868709","1.32776392894004","1.41687625862836","0.274508833106822","1.58517378034514","0.557402212871921","0.852625048662503","-2.34799431019152","-1.68547326883231","0.0928250716964953","0.388650473976625","-0.354080907758885","-1.22470831608331","0.190678443976736","-1.25847954069619","-3.55467959424516","-0.356041927331347","-0.991630155615013","1.99330356346299","4.20716660177609","2.70611216370813","0.179468223514604","-0.443550175918048","-0.940563981443205","-3.10970606958499","",
