Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,18-09-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,ATG,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Australia,AUS,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,1.812022649,1.831292772,1.825504893,2.605080207,3.802593617,4.2543701,4.68361935,5.002812841,4.129761964,5.974010847,6.234863921,4.860680812,3.970180367,4.033844034,3.937034077,4.631623976,3.110503109,3.168584033,4.012661835,2.784704369,3.301686759,2.478531927,2.245215087,2.003857859,1.880760953,1.8623483,1.84268417,1.609172147,1.710528271,1.630729862,2.64272751,3.099691023,2.901636775,2.840929382,3.757071164,5.212460203,6.415533844,8.230785961,10.26265013,6.480282415,9.581822207,10.56035506,7.772849549,8.292586295,7.310748358,4.802733196,
Austria,AUT,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.364893357,0.325849577,0.312389965,0.376656691,0.575297186,0.551508396,0.596518974,0.480155449,0.451173744,0.622771136,0.666989462,0.610902903,0.50402945,0.484451307,0.469993144,0.467643994,0.260452288,0.216789622,0.222347657,0.283493381,0.269018521,0.172301571,0.128673221,0.12569201,0.124882646,0.116777495,0.141014907,0.127476796,0.087063024,0.092709117,0.150903764,0.156366055,0.157369737,0.155301072,0.131529767,0.164839771,0.202901583,0.231193169,0.26126272,0.17118127,0.216120112,0.257332812,0.254511246,0.239902475,0.204182419,0.1330468,
Azerbaijan,AZE,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.99575457,9.658535348,13.08311039,14.8978277,15.04552632,17.32537502,22.35754458,18.36832958,4.328044219,15.82698463,35.20632657,27.53003674,25.38483051,27.21430253,29.12855914,38.87281696,44.55740726,38.8532885,38.15834982,26.60154679,30.46559021,35.11953344,31.99022134,26.49279569,22.0814144,13.36364745,
Burundi,BDI,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,6.751792437,5.38352192,6.30829521,8.735429768,8.534036762,9.728630933,8.015461905,12.50794917,11.65362756,8.383732032,8.978945968,7.578072227,10.81466424,6.54287638,6.778372236,5.936076665,8.57543185,9.326296883,10.38885781,10.65469447,13.37103247,12.68929711,14.02066839,14.23864858,17.06171534,23.96771545,28.37523271,23.62156395,27.01135591,15.41239214,15.05369193,18.65385479,24.11572919,40.55007109,30.59273187,26.47682002,24.11697093,32.5561152,33.39092724,31.35736928,24.13432175,23.83761636,16.75686083,16.06113091,14.1380046,17.16054334,
Belgium,BEL,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.160604762,0.149451141,0.12047677,0.108389859,0.140607922,0.241432711,0.260750138,0.214114453,0.160314126,0.134136467,0.135228364,0.19910147,0.254311842,0.196091202,0.165252515,0.157503022,0.09032946,0.052914414,0.03769063,0.044748208,0.045293024,0.029261481,0.023346693,0.025199948,0.023138748,0.020983401,0.022403315,0.020179673,0.023157579,0.022599241,0.024508447,0.020900298,0.02359613,0.021630197,0.015782996,0.015599007,0.017297873,0.018811692,0.018228471,0.017373001,0.019199804,0.019138158,0.018551173,0.019262823,0.020105931,0.018875943,
Benin,BEN,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,6.707341245,5.793022976,5.340842756,7.26543586,7.300531866,8.248116961,7.170673517,11.97544818,9.875061911,7.167350843,7.31176044,9.385490713,11.72174228,7.92319144,7.309919818,9.020210683,8.116065584,7.363859047,6.997731485,8.100887368,7.944604628,7.181380921,8.301253853,5.318729694,8.588490587,9.001388011,8.246718247,7.962858864,7.480920252,4.302064364,4.466274991,4.205235762,4.520265779,5.674131343,4.282284895,4.15270439,4.170646691,4.957317121,5.010157283,5.086227216,4.687139241,4.765977662,5.351275385,4.805235742,4.644890263,6.726689202,
Burkina Faso,BFA,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,6.822118675,5.71704697,5.480045057,7.999922686,7.990754725,8.752817267,7.53389974,11.86026846,9.356163886,7.401511032,8.3272796,8.024745624,11.28259218,8.211244827,8.609791283,6.142971239,7.664660125,6.54823035,6.514322441,6.70020866,6.816242529,6.965802201,9.518522777,7.687431608,11.5547625,13.88471374,12.78603159,12.70913767,11.62520011,5.210440352,5.980081891,5.37352343,6.414192958,7.335971965,6.187195431,7.153515195,7.31111711,9.183211051,10.40415147,12.34505311,14.92754955,18.7253764,18.99716794,17.2938256,16.86407684,20.98524035,
Bangladesh,BGD,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.292927786,0.259880381,0.330446492,0.491559383,0.376991143,0.567616474,0.709988084,2.488459634,1.785132118,0.700440735,0.774384183,0.585824769,0.866880713,0.626154199,0.572137853,0.372902903,0.622248977,0.482239294,0.451182876,0.459474095,0.634710086,0.593710788,0.500134928,0.447832215,0.39870231,0.457556316,0.445399915,0.394159945,0.262269054,0.279905797,0.613407367,0.676894026,0.599377835,0.618256083,0.706924507,1.13771035,1.6865727,1.584524743,1.620006288,1.100879067,1.20867389,1.525763439,1.465042949,1.106286567,1.066692094,1.025506313,
Bulgaria,BGR,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,1.803969935,1.947750989,2.055640009,1.502305762,1.300775616,1.672587421,0.829614206,0.558459127,2.97641643,2.7338069,1.122444584,1.682529786,1.608046296,1.252656144,1.667195078,1.743021,2.008763315,1.713501953,0.874123003,1.119284498,1.363229413,1.264218582,0.925540747,0.888668929,1.864939349,1.7533815,2.846360316,2.523782731,2.724933676,1.570178532,2.515707009,3.093432813,2.721191249,2.191122232,2.011623467,1.890540746,
Bahrain,BHR,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,19.2467287,12.26158231,9.314499275,10.18983393,9.366133126,10.43960952,6.206367207,6.590196606,5.098453092,6.925970478,8.754155133,5.056534609,4.705857049,4.612866422,3.745690086,3.86425764,4.680039847,4.431832358,2.760945561,3.227913198,4.389721354,4.278563851,3.816739652,4.101931651,4.158825063,5.683044245,6.208824148,5.889690712,6.738898623,5.32513913,4.832116451,7.644269146,8.707149797,8.593107756,8.192140439,4.947812413,
"Bahamas, The",BHS,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,0.906985202,0.847335719,0.893551077,0.847806842,0.747448128,0.444608755,0.270890814,0.293562659,0.296956269,0.200212489,0.226219082,0.187229092,0.185349293,0.140886369,0.114903866,0.040841526,0.040423691,0.043034982,0.066143799,0.058369889,0.117517923,0.098538602,0.084737846,0.106734839,0.082394945,0.093975507,0.08009688,0.051938333,0.012534981,0.011420053,0.008355596,0.008584438,0.010243114,0.009086842,0.008067455,0.007896312,0.009429136,0.010030634,0.011251545,0.011002391,0.0195222,0.016952669,0.015477604,0.017861044,0.022601794,0.020755262,
Bosnia and Herzegovina,BIH,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181433603,0.156774058,0.071046845,1.892523874,1.493769403,1.335370905,1.231402778,1.389723844,0.888832186,0.883394017,1.794050979,2.041838239,1.744054026,2.288724168,3.797204058,1.519019279,2.644968016,3.68094626,2.413903954,2.022292363,1.490525276,0.961052662,
Belarus,BLR,Total natural resources rents (% of GDP),NY.GDP.TOTL.RT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.352905787,0.485289093,2.198316778,2.140504821,1.877359557,2.24262397,3.288362712,3.109388967,0.721591843,1.622788769,2.47444587,2.098494568,1.798802218,1.763007253,1.807316072,1.834629776,1.794056698,1.596573812,1.555467649,1.130933108,1.40663703,1.832613802,1.678554576,1.279092722,1.100137037,1.01028721,
