,ISO,COUNTRY,YEAR,NP_COMPOSITE,SN_COMPOSITE
KHM2014,KHM,Cambodia,2014,3.616983248,3.783649915
ARM2014,ARM,Armenia,2014,3.614502476,3.64783581
IDN2014,IDN,Indonesia,2014,3.565806705,3.732473372
VNM2014,VNM,Viet Nam,2014,3.558006549,3.591339882
SLE2014,SLE,Sierra Leone,2014,3.534390511,3.701057178
GNB2014,GNB,Guinea-Bissau,2014,3.513385586,3.680052253
MDA2014,MDA,"Moldova, Republic of",2014,3.496889681,3.530223015
JAM2014,JAM,Jamaica,2014,3.481943103,3.515276436
GUY2014,GUY,Guyana,2014,3.468742851,3.502076184
TLS2014,TLS,Timor-Leste,2014,3.448451696,3.481785029
TUN2014,TUN,Tunisia,2014,3.447965904,3.481299238
NIC2014,NIC,Nicaragua,2014,3.437003321,3.470336654
COM2014,COM,Comoros,2014,3.428816904,3.728816904
MYS2014,MYS,Malaysia,2014,3.409147598,3.575814265
GHA2014,GHA,Ghana,2014,3.40452379,3.571190457
LBR2014,LBR,Liberia,2014,3.396235088,3.562901754
BIH2014,BIH,Bosnia and Herzegovina,2014,3.379967828,3.546634495
SLV2014,SLV,El Salvador,2014,3.350959514,3.384292848
GEO2014,GEO,Georgia,2014,3.34271761,3.576050943
PRY2014,PRY,Paraguay,2014,3.297639959,3.330973292
MNG2014,MNG,Mongolia,2014,3.279457009,3.312790342
BTN2014,BTN,Bhutan,2014,3.256308298,3.422974965
ISR2014,ISR,Israel,2014,3.214213711,3.380880378
BWA2014,BWA,Botswana,2014,3.204093064,3.37075973
OMN2014,OMN,Oman,2014,3.136200829,3.169534163
BHR2014,BHR,Bahrain,2014,3.032362398,3.199029065
SLB2014,SLB,Solomon Islands,2014,3.012532073,3.245865407
FJI2014,FJI,Fiji,2014,2.98577508,3.152441747
ARG2014,ARG,Argentina,2014,2.936021958,2.969355291
ALB2014,ALB,Albania,2014,2.902240494,2.935573827
CUB2014,CUB,Cuba,2014,2.879625658,2.912958991
SUR2014,SUR,Suriname,2014,2.846365321,3.013031987
ARE2014,ARE,United Arab Emirates,2014,2.826944459,2.860277792
KWT2014,KWT,Kuwait,2014,2.825127753,2.991794419
MKD2014,MKD,"Macedonia, the former Yugoslav Republic of",2014,2.713837142,2.880503809
TTO2014,TTO,Trinidad and Tobago,2014,2.703551523,2.870218189
PAN2014,PAN,Panama,2014,2.692219668,2.725553001
SRB2014,SRB,Serbia,2014,2.674563148,2.907896481
USA2014,USA,United States,2014,2.633192337,2.799859004
QAT2014,QAT,Qatar,2014,2.417132565,2.583799231
CRI2014,CRI,Costa Rica,2014,2.33569108,2.369024413
MUS2014,MUS,Mauritius,2014,2.140168386,2.306835052
MNE2014,MNE,Montenegro,2014,2.082420354,2.24908702
CHL2014,CHL,Chile,2014,2.035722908,2.069056242
SGP2014,SGP,Singapore,2014,1.981520478,2.148187145
KOR2014,KOR,"Korea, Republic of",2014,1.979901682,2.013235015
URY2014,URY,Uruguay,2014,1.770907636,1.804240969
AUS2014,AUS,Australia,2014,1.65746036,1.690793693
CAN2014,CAN,Canada,2014,1.582902458,1.749569125
NOR2014,NOR,Norway,2014,1.560670804,1.594004137
JPN2014,JPN,Japan,2014,1.507713327,1.54104666
NZL2014,NZL,New Zealand,2014,1.203896816,1.370563482
CHE2014,CHE,Switzerland,2014,1.194750902,1.361417569
