"Data Source","World Development Indicators",

"Last Updated Date","2019-07-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Antigua and Barbuda","ATG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","5193.18031561836","5431.57800444191","5878.39533077209","6367.09789611897","6616.94960561146","6613.63790913742","6967.49227546542","7675.8617893535","8262.58882135533","9217.05027962495","9833.69790250682","10337.3106613014","10838.6693244457","11072.2397817287","11163.4770113276","11099.4090679873","11453.4512928298","11958.6685601452","11193.1615085077","11676.874363729","12052.7701544948","12360.9929844015","12570.4033013906","13174.8118444779","12328.1564066864","12282.1360274371","12861.0907512852","13423.4933864214","14086.3006892608","15641.3868957467","16820.8127651083","16545.7769491212","14316.3385683291","13092.0738182632","12643.9198441354","12919.9541600759","12750.414275188","13193.5466017604","13577.4128026007","14190.6057596111","14483.2082371683","15061.5863625331",
"Australia","AUS","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","19378.143669163","19468.6492030629","19245.4102716598","20053.2203442173","21035.7604863561","21861.7351990407","21877.3491545256","22964.5063051246","23712.6802316695","24857.3699907578","26120.4008915736","26263.2520828113","26793.7736665418","27076.901411923","27483.4553721051","27513.6105568432","27943.9894210397","28624.9188971529","28547.7618474547","29382.8024855367","29907.5348490016","30419.2473749862","30912.0015044057","29849.9142173263","30865.9879263803","32045.0635829632","32796.674130603","33127.0984263148","34459.4367792103","35192.1969630978","35912.733831493","35317.4732486383","35035.7267249509","36092.6238871964","37134.2440488847","38095.1011243144","39056.1759955883","40153.5996467269","41555.9103109339","43168.2892225283","44334.3918715078","44585.1684885506","45806.6874475783","46595.9025319996","47926.7278660315","48813.8848751425","49443.1965891288","51024.2068294128","51841.2537218758","51767.3502361483","52022.1255961876","52567.7456787452","53673.0979172316","54137.1892887773","54705.7270373791","55183.7378252522","55875.0964226885","56228.8065156555","56919.3742827917",
"Austria","AUT","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13031.0315898249","13677.4642130876","13953.9500033393","14438.3566555943","15220.8197176825","15648.5266978249","16416.0054041203","16783.8896871799","17443.704979075","18474.5400142328","19573.8668769248","20483.4532861498","21628.966124242","22561.3704985125","23410.8902742626","23387.7063787301","24501.7493304065","25736.5512059217","25703.1373788812","27126.1781793457","27595.8347588735","27485.8321468879","28018.5408766777","28898.2188508896","28914.8565907991","29623.4341327814","30285.9331896605","30677.5439948851","31643.8089603984","32726.0594259348","33888.9955929164","34707.0712269201","35045.8442923391","34941.143401042","35643.0276843652","36537.9930388237","37346.0074348842","38084.7013777733","39405.4160313155","40727.4849425251","42001.2111626726","42370.9315990366","42859.3293954947","43052.6030729033","43956.5826590614","44637.8564124514","45951.7346927938","47510.2937863859","48053.4830761375","46123.4906889046","46858.0432733717","48065.3167058917","48172.2377048248","47901.3654287376","47842.7490656578","47850.1676260394","48300.9485964335","49190.1734138601","50250.0450600948",
"Azerbaijan","AZE","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3167.06208817709","3096.44980276303","2360.614694452","1787.94375321082","1416.44236632832","1234.99654739013","1238.48136232378","1297.73381219033","1414.02227815474","1505.39050644998","1658.80529519616","1808.95740069391","1964.98632844986","2149.23250460856","2327.65185795531","2948.20604828813","3921.02755330664","4863.98288042342","5267.371988685","5642.52679697322","5842.80578358576","5676.45041334095","5724.92083164488","5981.53869483097","6072.58603960072","6063.73011692466","5812.5843743252","5739.59455488806","5768.99240538437",
"Burundi","BDI","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","213.39688081986","180.545876285742","193.191880665894","197.305647300731","205.396400591232","208.846076720306","213.235282410668","236.535680939732","229.915102622963","221.450916401238","263.643956763226","266.978062580072","247.104003747795","261.529170917932","256.687330407088","254.675947596146","269.801511616064","294.225338609102","284.460085621528","281.917260438568","277.447458631793","303.227653673613","292.277811386532","295.196478335089","287.749697844271","312.872113350282","314.056875533449","322.086263161854","329.025420980918","324.771190295123","327.986681933291","336.580270395656","332.765875459652","305.948149312137","289.196918329432","262.375065939413","238.474631535111","232.305477391278","240.844572896698","235.309285692169","229.206107263877","228.660388811251","232.466497747919","222.807321080131","226.288471649801","221.096374710531","225.622210413864","225.859085274657","229.148545082546","230.192598508771","234.235646874999","235.988766659787","238.816045825172","242.845994657449","245.326738733565","228.432544171606","219.961497757751","214.139246201959","210.783569728591",
"Belgium","BEL","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","13193.3149413605","13804.1993476581","14465.9774292722","14983.0426057267","15874.4046901559","16291.0196565313","16692.0169886591","17241.4473706698","17894.0438026985","19026.4296503728","20070.5515670758","20832.5278062341","21850.0067859891","23171.3835032461","24153.1034849385","23609.9413336161","24900.0215733175","25025.0143676058","25712.1987356442","26290.4988861872","27428.6168027338","27352.7344988578","27522.9585604181","27610.9803633546","28292.3976653929","28751.1642421328","29264.7951487469","29914.3208400443","31227.797353222","32193.9850762119","33105.1611695658","33586.9643339243","33962.9924638208","33505.1715046253","34479.9437318076","35228.3482140871","35719.8133640126","36955.6304077091","37605.2219024284","38856.0665031392","40170.4157488907","40357.3715941641","40892.2142513664","41036.7293632776","42344.6941979484","42994.3600388148","43782.135925748","44960.7952703786","44956.3581216028","43591.2643262036","44380.1766327308","44594.3044592717","44422.6532488853","44302.4842741431","44659.6394153436","45174.0108192611","45598.7350953448","46211.2328937522","46683.1574094451",
"Benin","BEN","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","520.404179984985","529.297338642614","503.599084051538","519.130656001452","544.427762856429","563.14643870332","572.453222994978","567.383628665014","577.305494894222","581.61037421383","581.235118982927","560.180110614056","583.056243099537","591.050532244085","596.657708163309","553.93664820434","545.143576619519","557.93222697945","550.42650351024","571.072511282984","593.619562439568","635.117493477248","631.527135880661","587.287625984981","616.037500535204","643.587476348851","638.749042846944","611.028136374675","613.231180279321","577.539883272228","609.345623847634","614.005294113839","610.55090183852","623.953655204789","615.120445612328","631.171223502581","638.076330738046","654.542811574812","660.631781368267","675.677481564767","694.243748862815","709.469362156737","720.168276979008","722.667195343064","732.335422521139","723.19995937719","730.275166698073","752.215036722347","767.031377787259","763.154547400962","757.695907409377","758.575276385114","773.175729269639","805.956123498516","833.630342519349","827.835457935714","837.216825726833","862.056056916603","896.324367880198",
"Burkina Faso","BFA","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","238.854562360996","245.198582661663","256.777174402718","250.117852037582","252.261831813637","257.91507753529","255.28153124882","273.300218245601","276.974204233536","277.774091102006","273.33151551225","272.410460368818","273.83695464318","270.182895737443","287.264561673976","290.373108648389","309.153850689155","304.242226817525","311.834178785847","316.437746591525","311.891569083801","317.607545255431","339.56329188478","332.260179910774","318.102431922458","336.411586413563","353.888019006108","343.970454997046","354.488976474489","352.677859553805","341.352617189917","362.478919951271","353.668786014067","356.128863354102","351.104458678869","361.121421967347","389.965445880457","403.216943616745","420.723454429533","439.299726397477","434.763330444212","450.452280722016","456.73413491079","478.304352301957","485.307404342803","511.967590461138","527.962387666167","541.268695046728","563.447103417816","562.841972573867","575.446452687734","595.392988928601","615.095970788297","631.610260603211","639.708095622635","645.369860579085","664.02363057197","685.757486149844","709.755188088689",
"Bangladesh","BGD","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","372.031695722991","383.784358473246","393.633450578951","380.95602871826","410.571447191891","404.788059380935","402.302927666992","382.207664244051","405.533607666052","398.949916726982","411.184362801919","380.948608902683","322.33440569941","328.071885895516","353.762503526347","332.888062537241","343.948157012526","344.435566228696","359.090605054417","366.241111288189","359.456257585739","375.427432118736","373.551348204956","378.091928876351","386.061443177345","388.644273789874","394.335068911307","398.588126655912","397.761911676302","398.852110318811","411.164611241749","415.714740930362","428.661017617889","439.23000019415","446.654812655474","459.613367750575","470.274688637274","481.122454006953","495.626754059541","508.385222705121","524.945869703516","541.291660881083","551.903047733547","568.13922556822","588.327258879369","617.542666369303","649.929885115528","687.323085586786","720.357003907352","748.296060456803","781.153593557047","822.188338841729","865.749891053711","907.257418044388","951.314821042494","1002.38885345832","1062.04015786301","1127.27176833347","1203.21626488899",
"Bulgaria","BGR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","3223.80899433698","3370.52919134631","3439.02825941883","3548.13214904218","3660.06888345894","3758.34002719537","3917.51479507007","4148.59381224382","4597.47543157644","4498.55198005699","4162.81570433754","3849.18630135359","3607.79367407921","3582.85611598934","3660.40197671228","3781.90349197295","3828.24642187336","3809.68651346487","4078.68930627734","3756.75085295718","3955.27580157865","4186.92041902769","4532.8538693831","4804.48436237995","5152.41400784508","5561.16384273605","5988.77095056511","6476.05420316886","6914.39843478088","6709.52731467062","6843.26694975885","7019.17404574254","7062.13497737665","7136.84597816382","7309.4151151672","7611.55087800877","7966.88200882858","8331.15227287203","8651.09480143084",
"Bahrain","BHR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","21184.9828376582","19295.58521837","17290.8180745626","17906.0163509295","18304.6625974105","16926.4554561154","16571.5031291748","17663.5443960249","18240.7230301211","17702.4859789043","17934.7430502843","19407.6340079877","20178.5037375559","22218.0376236775","21623.2124036681","21910.3176182421","22220.759706765","22281.7576549435","22634.9622350898","22761.1300154709","22955.1971113414","22416.2103892739","22038.3911552775","22058.8483076681","22144.5801261696","22066.1703958395","21795.9241719605","21837.484301022","21562.6640288909","20796.1804106802","20722.1372891348","20516.6503268878","20925.6094489568","21805.9847009115","22396.0791053192","22436.2729506264","22336.7568224844","22126.6653331896","21438.5910783266",
"Bahamas, The","BHS","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","17734.567327177","18673.8347398528","19608.7392961232","20608.9997659686","21688.3316677513","22863.6476942442","23860.6272862576","25081.9423021765","26161.008342765","27535.28274148","25195.9995103593","24941.4055350112","23530.9465904697","24802.55288824","20245.2212608171","16903.5049908778","17410.1139248833","18599.8151193458","20775.8134693927","25633.1856605735","26700.9449444996","23704.4291199575","24734.3299140046","25066.2102707334","28016.0727071592","28786.2162218705","28759.2828141152","29099.6957785383","29268.9012614323","30706.5571244708","29686.8978383227","27923.9716261566","26348.8455603457","25938.5355504724","26291.9793474048","27018.3449634376","27783.2570775761","28022.6792280982","29017.2910405495","30723.9752444579","31570.5281698484","31910.5095551311","32236.4487923714","31272.8381153798","30978.5823209877","31442.2788734593","31632.4534870083","31485.4937392897","30190.7510358741","28440.0722223017","28443.4076553352","28248.8497757498","28799.8676832611","28401.6973400279","28094.535221754","28117.0558990781","27369.5564317144","27484.3791916835","",
"Bosnia and Herzegovina","BIH","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","700.745597451062","870.260316470032","1672.65387866651","2264.93271794209","2619.47720085632","2864.03146280679","3015.25262449236","3144.28922804819","3307.52380723641","3437.27747005943","3644.99220217577","3963.06935422939","4177.65632487854","4425.38289682977","4676.11815348177","4557.96351908517","4635.51777931783","4736.59374702643","4770.9104099763","4969.04191858468","5113.41589071679","5352.40178524424","5591.02796169517","5827.69022487883","6056.24494529845",
"Belarus","BLR","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3180.54209360027","3140.83444248246","2833.19987218745","2611.99605909695","2309.09865764927","2075.6499951585","2140.90885473225","2395.10936164256","2608.67517443181","2708.7393350487","2879.38006548047","3030.94752615782","3204.19898457435","3453.9636651659","3875.7830645828","4269.16602174832","4724.92454603076","5154.86716411286","5700.31938066551","5724.46885160699","6181.39991568753","6525.85136912335","6642.03513243543","6707.62152957548","6817.28921850647","6545.7805269077","6372.40179455992","6536.01210231683","6744.49866958786",
