code,iso,country,EPI.current,HLT.current,AIR.current,H2O.current,HMT.current,ECO.current,BDH.current,FRT.current,FSH.current,CCE.current,APE.current,WRS.current,AGR.current,HAD.current,PME.current,PMW.current,USD.current,UWD.current,PBD.current,MPA.current,TBN.current,TBG.current,SPI.current,PAR.current,SHI.current,TCL.current,FSS.current,MTR.current,DCT.current,DPT.current,DMT.current,DNT.current,DBT.current,DST.current,DXT.current,WWT.current,SNM.current
44,BHS,Bahamas,54.99,73.68,84.19,55.4,46.81,42.52,86.22,16.44,58.04,18.76,10.6,64.44,7.72,60.47,100,100,57.13,53.67,46.81,78.71,99.41,99.42,65.69,76.36,99.39,16.44,67.96,48.12,0,,63.15,98.53,24.02,16.38,4.82,64.44,7.72
48,BHR,Bahrain,55.15,65.28,67.81,63.06,45.62,48.41,33.26,,45.54,44.31,59.38,96.54,36.22,73.54,62.48,65.5,66.5,59.62,45.62,83.47,15.84,15.84,,2.53,,,70.67,20.4,29.21,35.85,63,100,98.66,84.45,34.32,96.54,36.22
50,BGD,Bangladesh,29.56,11.96,4.12,28.47,14.72,41.29,53.58,12.13,66.86,46.95,40.22,0,37.82,10.31,0,0,28.02,28.92,14.72,94.02,19.35,81.37,23.58,6.54,92.57,12.13,98.13,35.58,44.11,31.44,65.32,64.09,46.83,52.91,27.53,0,37.82
52,BRB,Barbados,55.76,84.73,100,55.64,60.69,36.45,27.14,,46.76,34.57,40.21,64.44,10.23,100,100,100,56.35,54.93,60.69,45.6,6.08,6.08,,74.46,,,42.52,51,32.8,,30.46,58.11,52.2,43.66,36.77,64.44,10.23
112,BLR,Belarus,64.98,69.55,69.71,68.66,72.8,61.94,65.61,15.34,,64.73,72.33,97.54,28.1,68.5,69.55,71.47,66.13,71.2,72.8,,62.03,62.03,72.6,40.37,91.21,15.34,,,73.1,39.38,70.2,74.98,50.24,72.06,72.6,97.54,28.1
56,BEL,Belgium,77.38,89.37,88.63,96.09,58.6,69.39,95.7,15.61,46.69,63.81,79.02,98.08,47.61,96.74,79.83,86.6,96.26,95.93,58.6,100,100,100,100,82.9,74.09,15.61,60.47,32.91,51.92,58.18,99.03,47.36,80.78,93.08,64.97,98.08,47.61
84,BLZ,Belize,57.79,65.09,74.73,46.74,49.86,52.93,93.47,5.11,44.27,45.03,39.57,59,25.14,36.82,100,100,48.06,45.42,49.86,100,100,100,99.88,100,34.99,5.11,58.91,29.64,52.03,,20.65,39.87,49.77,38.4,40.74,59,25.14
204,BEN,Benin,38.17,36.36,50.66,6.37,30.23,39.37,75.08,3.49,48.18,34.35,25.05,10.7,31.11,6.23,81.35,79.22,6.13,6.62,30.23,0,100,100,98.42,67.73,86.21,3.49,74.62,21.74,29.23,23.13,59.02,46.82,19.27,39.78,10.32,10.7,31.11
64,BTN,Bhutan,47.22,35.27,36.89,32.6,30.28,55.18,96.3,59.79,,43.76,48.28,0,33.15,24.94,41.52,48.2,30.3,34.9,30.28,,100,100,99.55,74.78,96.51,59.79,,,29.76,,81.53,82.97,49.38,45.77,50.79,0,33.15
68,BOL,Bolivia,55.98,61.64,70.92,44.57,43.51,52.21,88.58,18.38,,33.49,38.72,63.66,54.41,30.12,100,96.22,44.96,44.18,43.51,,97.22,97.06,86,73.36,74.69,18.38,,,23.33,34.36,54.79,51.77,28.1,56.25,21.18,63.66,54.41
70,BIH,Bosnia and Herzegovina,41.84,63.87,60.37,71.54,63.39,27.15,26.93,49.31,,26.8,30.79,0,33.09,28.68,80.39,82.59,74.44,68.63,63.39,,8.1,13.54,11.13,61.68,88.18,49.31,,,16.3,25.09,51.46,39.04,27.86,19,42.57,0,33.09
72,BWA,Botswana,51.7,37.19,43.33,21.8,49.65,61.37,98.31,57.67,,47.24,42.46,49.56,30.36,24.29,52.48,59.58,21.5,22.09,49.65,,100,100,95.29,100,95.91,57.67,,,38.41,14.56,100,67.73,34.72,52.57,32.35,49.56,30.36
76,BRA,Brazil,60.7,67.44,78.78,45.91,49.19,56.21,88.17,12.43,81.42,33.24,37.55,81.08,58.83,55.19,100,89.01,43.46,48.37,49.19,94.88,99.88,99.49,89.38,69.8,44.69,12.43,62.84,100,21.07,25.51,68.37,54.38,24.27,52.49,22.6,81.08,58.83
96,BRN,Brunei Darussalam,63.57,96.66,98.76,94.9,79.92,41.52,81.58,21.47,50.27,27.42,2.51,39.76,29.92,100,100,95.87,98.88,90.93,79.92,59.2,100,100,99.89,18.34,79.24,21.47,68.93,31.61,2.92,50.28,33.21,95.3,89.87,2.62,2.41,39.76,29.92
100,BGR,Bulgaria,67.85,69.6,68.49,71.26,74.15,66.68,93.39,34.38,62.17,56.04,52.91,93.93,43.68,41.64,85.44,87.33,76.35,66.18,74.15,98.4,99.87,99.79,100,54.48,83.33,34.38,54.73,69.61,67.1,35.93,62.4,5.35,51.16,49.15,56.66,93.93,43.68
854,BFA,Burkina Faso,42.83,44.22,61.85,8.45,29.78,41.91,85.54,,,26.24,28.47,0,28.42,4.63,100,99.99,8.19,8.71,29.78,,92.32,92.32,88.94,51.69,85.45,,,,25.38,,37.59,19.24,0,30.57,26.37,0,28.42
108,BDI,Burundi,27.43,25.69,36.92,0.86,28.7,28.59,53.67,25.87,,16.18,38.18,0,21.06,4.25,54.01,63.38,0.95,0.77,28.7,,46.52,46.86,57.45,37.09,90.6,25.87,,,16.26,,17.05,26.74,0.99,41.15,35.2,0,21.06
116,KHM,Cambodia,43.23,39.81,41.91,35.26,39.84,45.51,80.53,0,49.61,47.63,37.52,0,47.46,7.72,62.51,66.9,34.43,36.09,39.84,68.07,100,100,99.04,45.6,25.44,0,50.57,48.66,39.97,67.36,49.66,52.46,32.43,43.37,31.68,0,47.46
120,CMR,Cameroon,40.81,39.18,50.54,13.45,45.84,41.9,49.56,22.75,47.54,58.53,33.71,0,31.05,7.42,79.1,79.47,13.2,13.7,45.84,0,57.64,64,63.44,40.3,85.15,22.75,74.62,20.45,73.97,32.29,58.59,25.52,41.78,30.07,37.35,0,31.05
124,CAN,Canada,72.18,97.51,99.28,94.69,91.49,55.29,83.2,11.57,42.23,39.88,44.25,96.35,61.78,100,100,97.59,89.38,100,91.49,82.22,100,100,71.31,44.02,80.91,11.57,51.6,32.86,35.38,67.21,26.44,33.86,35.24,49.84,38.66,96.35,61.78
132,CPV,Cabo Verde,56.94,60.9,70.81,40.66,53.47,54.3,20.67,,62.23,69.56,72.99,82.2,21.9,27.03,100,100,39.9,41.42,53.47,0,13.26,13.26,25.56,2.69,99.85,,70.49,53.96,64.12,,88.79,82,56.23,73.64,72.33,82.2,21.9
140,CAF,Central African Republic,36.42,29.16,42.93,0,25.01,41.26,89.6,43.52,,17.55,40.31,0,21.83,0,68.91,74.2,0,0,25.01,,100,100,84.15,49.99,98.48,43.52,,,24.33,,0.4,0.35,8.39,48.21,32.41,0,21.83
148,TCD,Chad,45.34,41.36,60.82,0.32,34.67,47.99,72.22,9.46,,49.62,78.57,0,28.9,2.52,100,99.36,0.25,0.38,34.67,,68.09,77.36,83.64,28.36,91.21,9.46,,,55.08,,36.24,34.03,42.23,78.88,78.25,0,28.9
152,CHL,Chile,57.49,73.73,69.22,79.61,97.15,46.66,69.79,10.83,51.01,37.37,3.37,98.55,32.52,65.17,70.97,72.86,79.41,79.81,97.15,100,61.65,43.29,67.31,65.19,88.18,10.83,55.85,46.18,26.05,11.13,84.75,74.68,28.62,5.42,1.32,98.55,32.52
156,CHN,China,50.74,31.72,14.39,68.24,38.02,63.42,72.57,21.89,70.41,68.62,57.08,80.2,34.64,25.85,1.05,12.44,66.82,69.66,38.02,89.28,67.65,83.05,72.21,29.46,71.81,21.89,90.52,50.3,63.24,45.59,99,99.89,61.84,60.12,54.05,80.2,34.64
170,COL,Colombia,65.22,71.05,77.01,59.96,60.12,61.33,81.37,27.88,92.93,50.1,56.76,77.21,9.6,44.78,100,97.01,63.79,56.12,60.12,88.43,82.84,78.16,84.27,77.84,68.48,27.88,85.87,100,44.35,29.47,78.62,78.08,48.13,59.62,53.89,77.21,9.6
174,COM,Comoros,44.24,47.06,64.38,10,44.3,42.37,55.8,12.66,57.81,49.44,30.02,26.32,18.05,10.95,100,100,9.37,10.63,44.3,55.3,55.8,55.8,72.18,20.47,59.39,12.66,73.57,42.05,57.09,,30.41,49.05,18.77,33.35,26.68,26.32,18.05
188,CRI,Costa Rica,67.85,76.44,84.43,62.78,54.45,62.13,87.71,28.49,69.69,59.29,58.15,64.78,6.04,61.08,100,100,68.08,57.48,54.45,80.49,94.39,87.09,98.86,82.97,72.42,28.49,71.96,67.41,58.7,79.09,56.64,55.75,0.07,64.39,51.91,64.78,6.04
384,CIV,C̫te d'Ivoire,45.25,39.55,53.88,9.53,33.42,49.05,83.66,0,59.69,38.57,51.38,44.63,19.83,5.15,86.69,86.04,9.53,9.53,33.42,69.89,100,100,99.45,66.61,31.35,0,74.62,44.75,39.2,37.24,39.41,60.67,12.1,63.77,38.99,44.63,19.83
191,HRV,Croatia,65.45,67.04,64.07,70.01,87.84,64.39,95.25,34.36,54.55,54.41,43.23,86.58,47.68,48.68,72.84,75.83,74.08,65.94,87.84,99.04,100,100,99.99,65.62,88.79,34.36,92.25,16.85,57.84,62.12,45.56,56.38,22.73,49.32,37.14,86.58,47.68
192,CUB,Cuba,63.42,75.76,86.47,57.5,46.03,55.2,74.37,14.72,49.23,49.15,75.32,72.52,13.59,66.18,100,100,58.2,56.8,46.03,94.2,60.75,65.31,79.17,49.29,95.61,14.72,34.23,64.23,44.48,33.45,62.9,55.53,97.24,59.67,90.98,72.52,13.59
196,CYP,Cyprus,72.6,87.96,87.5,92.35,67.57,62.37,81.66,36.06,52.55,66.26,49.65,79.34,6.29,90.12,85.49,86.02,92.35,92.34,67.57,68.14,100,100,99.55,21.21,59.99,36.06,26.64,78.47,62.53,45.11,92.22,56.04,94.5,56.67,42.62,79.34,6.29
203,CZE,Czech Republic,67.68,68.69,65.77,69.98,98.82,67.01,94.96,17.8,,54.65,57.07,95.77,62.17,72.86,56.56,65.55,75,64.96,98.82,,100,100,100,72.89,86.82,17.8,,,59.61,44.24,60.13,41.66,37.81,57.5,56.64,95.77,62.17
180,COD,Dem. Rep. Congo,30.41,19.7,22.57,10.01,40.47,37.56,67.79,14.43,,34.26,40.16,0,22.39,5.97,31.83,35.45,9.8,10.21,40.47,,70.4,70.32,71.39,40.36,77.72,14.43,,,17.7,100,22.42,17.25,1.31,48.66,31.66,0,22.39
208,DNK,Denmark,81.6,98.2,99.16,97.78,88.3,70.53,94.48,12.74,50.75,67.56,71,98.45,67.02,99.75,100,97.53,99.13,96.43,88.3,100,100,100,100,51.51,93.33,12.74,51.54,49.96,69.4,65.72,73.72,40.37,59,96.8,45.21,98.45,67.02
