iso3c,n,missing,location,actual,actual_number
GIB,57,0.824561403508772,Gibraltar,0.175438596491228,10
IMN,57,0.824561403508772,Isle of Man,0.175438596491228,10
MNP,57,0.824561403508772,Northern Mariana Islands (the),0.175438596491228,10
VGB,57,0.824561403508772,Virgin Islands (British),0.175438596491228,10
AIA,57,0.842105263157895,Anguilla,0.157894736842105,9
GUF,57,0.842105263157895,French Guiana,0.157894736842105,9
MTQ,57,0.842105263157895,Martinique,0.157894736842105,9
NIU,57,0.859649122807018,Niue,0.140350877192982,8
REU,57,0.859649122807018,Réunion,0.140350877192982,8
ESH,57,0.87719298245614,Western Sahara,0.12280701754386,7
GLP,57,0.894736842105263,Guadeloupe,0.105263157894737,6
JEY,57,0.894736842105263,Jersey,0.105263157894737,6
MAF,57,0.894736842105263,Saint Martin (French part),0.105263157894737,6
MSR,57,0.894736842105263,Montserrat,0.105263157894737,6
SPM,57,0.894736842105263,Saint Pierre and Miquelon,0.105263157894737,6
FLK,57,0.912280701754386,Falkland Islands (the) [Malvinas],0.0877192982456141,5
MYT,57,0.912280701754386,Mayotte,0.0877192982456141,5
ALA,57,0.929824561403509,Åland Islands,0.0701754385964912,4
ATA,57,0.929824561403509,Antarctica,0.0701754385964912,4
ATF,57,0.929824561403509,French Southern Territories (the),0.0701754385964912,4
BES,57,0.929824561403509,"Bonaire, Sint Eustatius and Saba",0.0701754385964912,4
BLM,57,0.929824561403509,Saint Barthélemy,0.0701754385964912,4
BVT,57,0.929824561403509,Bouvet Island,0.0701754385964912,4
CCK,57,0.929824561403509,Cocos (Keeling) Islands (the),0.0701754385964912,4
CXR,57,0.929824561403509,Christmas Island,0.0701754385964912,4
GGY,57,0.929824561403509,Guernsey,0.0701754385964912,4
HMD,57,0.929824561403509,Heard Island and McDonald Islands,0.0701754385964912,4
IOT,57,0.929824561403509,British Indian Ocean Territory (the),0.0701754385964912,4
NFK,57,0.929824561403509,Norfolk Island,0.0701754385964912,4
PCN,57,0.929824561403509,Pitcairn,0.0701754385964912,4
SGS,57,0.929824561403509,South Georgia and the South Sandwich Islands,0.0701754385964912,4
SHN,57,0.929824561403509,"Saint Helena, Ascension and Tristan da Cunha",0.0701754385964912,4
SJM,57,0.929824561403509,Svalbard and Jan Mayen,0.0701754385964912,4
TKL,57,0.929824561403509,Tokelau,0.0701754385964912,4
UMI,57,0.929824561403509,United States Minor Outlying Islands (the),0.0701754385964912,4
VAT,57,0.929824561403509,Holy See (the),0.0701754385964912,4
WLF,57,0.929824561403509,Wallis and Futuna,0.0701754385964912,4
