package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
dbplyr,2.1.1,2.1.1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dbplyr,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dbplyr,FALSE,FALSE,2021-04-06,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
DEoptimR,1.0.10,1.0-10,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/DEoptimR,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/DEoptimR,FALSE,FALSE,2022-01-03,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
desc,1.4.0,1.4.0,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/desc,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/desc,FALSE,FALSE,2021-09-28,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
devtools,2.4.3,2.4.3,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/devtools,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/devtools,TRUE,FALSE,2021-11-30,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
digest,0.6.29,0.6.29,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/digest,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/digest,TRUE,FALSE,2021-12-01,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
dotCall64,1.0.1,1.0-1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dotCall64,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dotCall64,FALSE,FALSE,2021-02-11,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
dplyr,1.0.8,1.0.8,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dplyr,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dplyr,TRUE,FALSE,2022-02-08,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
DT,0.20,0.20,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/DT,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/DT,FALSE,FALSE,2021-11-15,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
e1071,1.7.9,1.7-9,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/e1071,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/e1071,FALSE,FALSE,2021-09-16,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
ellipsis,0.3.2,0.3.2,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ellipsis,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ellipsis,FALSE,FALSE,2021-04-29,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
evaluate,0.15,0.15,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/evaluate,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/evaluate,FALSE,FALSE,2022-02-18,CRAN (R 4.1.1),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
factoextra,1.0.7,1.0.7,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/factoextra,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/factoextra,TRUE,FALSE,2020-04-01,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
FactoMineR,2.4,2.4,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/FactoMineR,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/FactoMineR,TRUE,FALSE,2020-12-11,CRAN (R 4.1.0),,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
