"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"MMR","Myanmar",0.293,,,,0.297,0.302,,,,0.3663,1.1258,1.2024,1.2479,1.3044,1.3498,1.4157,1.4718,1.5307,,,0.3824,1.6538,1.8692,1.6763,
"NAM","Namibia",,,0.295,,,,,,,3.5347,,,3.2514,,,3.149,,,1.8402,1.8527,1.8856,2.0424,2.6113,2.3722,
"NRU","Nauru",7.1698,,,,,,,,,7.3737,,,,7.9798,1.0101,1.1,8.3168,,,,8.077,,,7.6636,
"NPL","Nepal",0.04,0.04,0.04,0.04,,,0.052,,,0.677,,,,,,,,2.1139,2.4369,2.732,,,3.758,3.857,
"NLD","Netherlands",,,,2.9,2.3768,2.4427,2.5193,10.5497,10.7562,10.9053,11.0055,11.0762,11.1544,11.3414,2.9057,2.9516,3.1243,3.2463,3.3058,13.8763,14.2406,14.4749,14.7893,,
"NZL","New Zealand",2,2,2.2,2.2,2.2,7.9917,10.8181,2.0665,11.11,,12.5009,12.2279,12.683,13.2638,13.3028,13.6418,13.7898,13.6502,15.4844,15.0546,15.2866,15.5113,15.7935,16.038,
"NIC","Nicaragua",0.82,,0.856,,,,,,1.4941,,1.6569,1.6502,1.7089,1.9402,2.006,1.9925,2.1794,2.23,2.2578,2.2495,2.2979,2.4198,2.5419,2.5109,
"NER","Niger",,0.024,0.035,0.033,,,,0.033,,0.2373,,,,0.1576,0.2316,0.156,,,0.274,0.3338,0.251,0.3128,,,
"NGA","Nigeria",,,,,,0.269,,,1.8592,,1.8193,1.8515,1.8777,1.8731,1.455,1.5404,,,1.4086,,,2.2045,,1.5598,
"NOR","Norway",2.8,2.8,2.5,0.5288,2.8,2.9,3,14.6498,15.3316,15.919,16.4004,16.7346,16.8096,16.907,18.9287,19.1608,19.4974,19.6386,19.8106,20.1087,20.5096,20.6903,20.9901,21.1412,
"OMN","Oman",3.862,,3.4284,3.7586,3.8192,4.8884,,1.257,,5.1593,5.3594,5.4999,5.7587,5.9712,6.1417,6.1574,6.3258,6.4843,6.535,6.815,6.6189,6.3364,6.2303,6.1996,
"PAK","Pakistan",0.9063,0.9476,0.984,1.0214,1.0495,1.067,1.089,,,1.2004,0.7882,,0.7619,1.3103,1.3394,1.3671,1.2548,1.2975,1.405,1.3594,1.4014,1.4493,1.5991,1.6484,
"PLW","Palau",,,,7.5543,,1.58,,,,6.0302,,7.3846,,,7.7049,8.2222,,,,7.7273,,,,7.2626,
"PAN","Panama",2.2109,2.2834,2.3081,2.2868,2.3748,4.267,3.0852,3.251,3.5387,3.3125,3.3521,3.352,1.3032,1.3808,1.3092,3.8823,3.8122,1.5979,4.5127,2.9495,2.762,4.555,3.0866,3.0741,
"PNG","Papua New Guinea",,,,0.073,,0.5328,,,,,,,,0.4554,,0.5497,,,,,,,0.2253,0.5247,
"PRY","Paraguay",0.73,,1.098,,,1.17,,3.0036,,,,,,,,,,2.3191,0.5654,0.6143,0.6666,0.7038,0.9786,3.0148,
