,,,,,, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026, 2027, 2028, 2029, 2030, 2031, 2032, 2033, 2034, 2035, 2036, 2037, 2038, 2039, 2040
INCOMELT190LN[1],Eritrea,,,Mil People,Base,          1.286,          1.141,          1.117,          1.180,          1.294,          1.403,          1.518,          1.573,          1.538,          1.472,          1.411,          1.363,          1.319,          1.276,          1.234,          1.193,          1.159,          1.131,          1.109,          1.089,          1.067,          1.013,          0.949,          0.885
INCOMELT190LN[1],Estonia,,,Mil People,Base,          0.004,          0.003,          0.003,          0.004,          0.003,          0.004,          0.004,          0.004,          0.004,          0.004,          0.003,          0.002,          0.002,          0.001,          0.001,          0.001,          0.001,          0.001,          0.001,          0.000,          0.000,          0.000,          0.000,          0.000
INCOMELT190LN[1],Eswatini,,,Mil People,Base,          0.322,          0.317,          0.311,          0.323,          0.323,          0.321,          0.324,          0.319,          0.312,          0.300,          0.287,          0.276,          0.266,          0.257,          0.250,          0.244,          0.238,          0.232,          0.226,          0.219,          0.213,          0.207,          0.200,          0.193
INCOMELT190LN[1],Ethiopia,,,Mil People,Base,          27.93,          26.39,          24.70,          25.59,          26.58,          25.26,          24.54,          24.65,          23.45,          22.18,          20.99,          19.95,          19.05,          18.16,          17.27,          16.37,          15.48,          14.67,          13.88,          13.07,          12.22,          11.36,          10.49,          9.620
INCOMELT190LN[1],Fiji,,,Mil People,Base,          0.002,          0.002,          0.002,          0.005,          0.006,          0.006,          0.006,          0.006,          0.006,          0.005,          0.006,          0.006,          0.007,          0.008,          0.009,          0.010,          0.010,          0.011,          0.011,          0.012,          0.012,          0.012,          0.012,          0.011
INCOMELT190LN[1],Finland,,,Mil People,Base,          0.004,          0.007,          0.006,          0.006,          0.005,          0.005,          0.004,          0.004,          0.003,          0.003,          0.003,          0.003,          0.003,          0.003,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.002,          0.001,          0.001
INCOMELT190LN[1],France,,,Mil People,Base,          0.009,          0.079,          0.075,          0.071,          0.079,          0.082,          0.075,          0.063,          0.057,          0.051,          0.046,          0.042,          0.038,          0.035,          0.032,          0.029,          0.027,          0.025,          0.024,          0.022,          0.021,          0.020,          0.019,          0.017
INCOMELT190LN[1],Gabon,,,Mil People,Base,          0.070,          0.074,          0.071,          0.076,          0.071,          0.061,          0.055,          0.045,          0.041,          0.037,          0.033,          0.029,          0.026,          0.023,          0.020,          0.018,          0.016,          0.015,          0.014,          0.013,          0.013,          0.012,          0.012,          0.012
INCOMELT190LN[1],Gambia,,,Mil People,Base,          0.224,          0.207,          0.193,          0.221,          0.225,          0.215,          0.210,          0.225,          0.200,          0.176,          0.156,          0.139,          0.126,          0.115,          0.106,          0.097,          0.089,          0.080,          0.072,          0.063,          0.054,          0.047,          0.040,          0.035
INCOMELT190LN[1],Georgia,,,Mil People,Base,          0.199,          0.178,          0.154,          0.184,          0.158,          0.139,          0.124,          0.110,          0.098,          0.087,          0.076,          0.067,          0.059,          0.053,          0.047,          0.041,          0.036,          0.031,          0.027,          0.023,          0.020,          0.017,          0.015,          0.013
INCOMELT190LN[1],Germany,,,Mil People,Base,          0.000,          0.080,          0.078,          0.082,          0.083,          0.087,          0.085,          0.070,          0.062,          0.055,          0.050,          0.046,          0.043,          0.039,          0.036,          0.033,          0.030,          0.028,          0.025,          0.023,          0.021,          0.019,          0.018,          0.016
INCOMELT190LN[1],Ghana,,,Mil People,Base,          3.708,          3.557,          3.441,          3.648,          3.649,          3.510,          3.497,          3.487,          3.446,          3.391,          3.334,          3.280,          3.228,          3.181,          3.135,          3.087,          3.034,          2.979,          2.918,          2.850,          2.775,          2.696,          2.609,          2.514
INCOMELT190LN[1],Greece,,,Mil People,Base,          0.094,          0.087,          0.081,          0.073,          0.071,          0.072,          0.063,          0.057,          0.050,          0.047,          0.044,          0.042,          0.040,          0.038,          0.035,          0.033,          0.031,          0.029,          0.027,          0.025,          0.023,          0.021,          0.019,          0.017
INCOMELT190LN[1],Grenada,,,Mil People,Base,          0.009,          0.008,          0.008,          0.011,          0.011,          0.010,          0.009,          0.008,          0.007,          0.006,          0.006,          0.006,          0.005,          0.005,          0.004,          0.004,          0.004,          0.003,          0.003,          0.003,          0.003,          0.002,          0.002,          0.002
INCOMELT190LN[1],Guatemala,,,Mil People,Base,          1.253,          1.260,          1.256,          1.360,          1.301,          1.274,          1.271,          1.281,          1.273,          1.263,          1.251,          1.237,          1.221,          1.203,          1.184,          1.163,          1.141,          1.117,          1.090,          1.061,          1.031,          1.001,          0.970,          0.938
INCOMELT190LN[1],Guinea,,,Mil People,Base,          2.936,          2.881,          3.073,          3.309,          3.334,          3.233,          3.249,          3.575,          3.682,          3.798,          3.896,          3.974,          4.032,          4.067,          4.109,          4.160,          4.200,          4.215,          4.185,          4.081,          3.891,          3.621,          3.289,          2.924
INCOMELT190LN[1],Guinea Bissau,,,Mil People,Base,          1.174,          1.215,          1.236,          1.298,          1.329,          1.353,          1.368,          1.383,          1.403,          1.420,          1.435,          1.449,          1.463,          1.476,          1.489,          1.502,          1.514,          1.526,          1.538,          1.549,          1.558,          1.567,          1.574,          1.579
