"ISO3","Name","Value","sign"
"TUR","Turkey",0.00146680656069691,0
"TKM","Turkmenistan",0.00095244214227625,0
"TUV","Tuvalu",0.0072084201792242,1
"UGA","Uganda",0.00598612922343048,0
"UKR","Ukraine",0.0134834873857267,1
"ARE","United Arab Emirates",0.000871821884225249,0
"GBR","United Kingdom",-0.00662020168156059,-1
"USA","United States",-0.00530647633485709,-1
"URY","Uruguay",0.00019175185862632,0
"UZB","Uzbekistan",0.020623185663299,1
"VUT","Vanuatu",0.000166162511405063,0
"VEN","Venezuela, Bolivarian Republic o",-0.0031412569431008,0
"VNM","Viet Nam",0.00898171102261636,1
"YEM","Yemen",-0.00628986702225511,-1
"ZMB","Zambia",-5.76983448659003e-05,0
"ZWE","Zimbabwe",0.00647647292357883,1
